Unnamed: 0,Name,Hyperlink,Relations,Species,Origin,Gender,Status,in_degree,out_degree,community
31,Baby Poopybutthole,https://rickandmorty.fandom.com/wiki/Baby_Poopybutthole,"['Mr. Poopybutthole', 'Mrs. Poopybutthole']",Poopybutthole,unknown,Male,Alive,3.0,2.0,4.0
32,Baby Wizard,https://rickandmorty.fandom.com/wiki/Baby_Wizard,"['Memory Parasites', 'Morty Smith', 'Duck with Muscles', 'Reverse Giraffe']",Alien,unknown,Male,Dead,2.0,4.0,9.0
33,Balthromaw,https://rickandmorty.fandom.com/wiki/Balthromaw,"['Morty Smith', 'Rick Sanchez', 'Summer Smith', 'Talking Cat']",Mythological Creature,Draygon,Male,Alive,2.0,4.0,5.0
34,Bearded Lady,https://rickandmorty.fandom.com/wiki/Bearded_Lady,"['Memory Parasites', 'Rick Sanchez']",Alien,unknown,Female,Dead,1.0,2.0,9.0
35,Beebo,https://rickandmorty.fandom.com/wiki/Beebo,"['Rick Sanchez', 'Morty Smith']",Alien,Venzenulon 7,Male,Dead,0.0,2.0,6.0
36,Benjamin,https://rickandmorty.fandom.com/wiki/Benjamin,[],Poopybutthole,unknown,Male,Alive,1.0,0.0,4.0
37,Bepisians,https://rickandmorty.fandom.com/wiki/Bepisians,"['Shrimply Pibbles', 'Jerry Smith']",Humanoid,unknown,Genderless,unknown,0.0,2.0,0.0
38,Beta-Seven,https://rickandmorty.fandom.com/wiki/Beta-Seven,"['Unity', 'Rick Sanchez']",Alien,unknown,Genderless,Alive,1.0,2.0,12.0
39,Beth Sanchez (C-137),https://rickandmorty.fandom.com/wiki/Beth_Sanchez_(C-137),"['Rick Sanchez', 'Diane Sanchez', ""Rick's Father"", ""Rick's Foal"", 'Morty Smith', 'Weird Rick', 'Birdperson', 'Memory Rick']",Human,unknown,Genderless,unknown,4.0,8.0,0.0
40,Beth Sanchez (C-500A),https://rickandmorty.fandom.com/wiki/Beth_Sanchez_(C-500A),"['Jerry Smith (C-500A)', 'Beth Smith', 'Rick Sanchez', 'Kristen Stewart', 'Jerry Smith']",Human,unknown,Genderless,unknown,2.0,5.0,0.0
41,Beth Sanchez (Simple Rick's Dimension),https://rickandmorty.fandom.com/wiki/Beth_Sanchez_(Simple_Rick%27s_Dimension),"['Simple Rick', 'Beth Sanchez (C-500A)']",Human,unknown,Genderless,unknown,0.0,2.0,2.0
42,Beth Smith,https://rickandmorty.fandom.com/wiki/Beth_Smith,"['Thomas Lipnip', 'Jerry Smith', 'Summer Smith', 'Morty Smith (Replacement Dimension)', 'Morty Smith', 'Leonard Smith', 'Joyce Smith', 'Hemorrhage', 'Morty Jr.', 'Naruto Smith', 'Rick Sanchez (Replacement Dimension)', 'Rick Sanchez', 'Diane Sanchez', ""Rick's Father"", 'Sleepy Gary', 'Davin', 'Dr. Wong', 'Snuffles', 'Jerry Smith (Cronenberged dimension)', 'Summer Smith (Cronenberged dimension)', 'Jaguar', 'Mr. Poopybutthole', 'Planetina', 'Ethan', 'Poñeta']",Human,Earth (C-137),Female,Alive,63.0,25.0,0.0
43,Beth Smith (304-X),https://rickandmorty.fandom.com/wiki/Beth_Smith_(304-X),"['Jerry Smith (304-X)', 'Summer Smith (304-X)', 'Morty Smith (304-X)', 'Beth Smith (C-132)', 'Rick Sanchez (C-132)', 'Morty Smith (C-132)', 'Morty Smith', 'Summer Smith', 'Jerry Smith']",unknown,unknown,Genderless,unknown,3.0,9.0,13.0
44,Beth Smith (C-132),https://rickandmorty.fandom.com/wiki/Beth_Smith_(C-132),"['Summer Smith (C-132)', 'Morty Smith (C-132)', 'Rick Sanchez (C-132)', 'Beth Smith', 'Rick Sanchez', 'Morty Smith', 'Summer Smith', 'Jerry Smith']",unknown,unknown,Genderless,unknown,4.0,8.0,13.0
45,Beth Smith (Evil Rick's Target Dimension),https://rickandmorty.fandom.com/wiki/Beth_Smith_(Evil_Rick%27s_Target_Dimension),"[""Jerry Smith (Evil Rick's Target Dimension)"", ""Summer Smith (Evil Rick's Target Dimension)"", ""Morty Smith (Evil Rick's Target Dimension)"", ""Rick Sanchez (Evil Rick's Target Dimension)"", 'Beth Smith', 'Evil Rick Sanchez', 'Evil Morty', 'Rick Sanchez', 'Morty Smith', 'Summer Smith', 'Jerry Smith']",unknown,unknown,Genderless,unknown,4.0,11.0,2.0
46,Beth's Mytholog,https://rickandmorty.fandom.com/wiki/Beth%27s_Mytholog,"['Beth Smith', ""Jerry's Mytholog"", 'Ideal Jerry', 'Goddess Beth']",Mythological Creature,Nuptia 4,Female,Dead,4.0,4.0,0.0
47,Big Boobed Waitress,https://rickandmorty.fandom.com/wiki/Big_Boobed_Waitress,"['Rick Sanchez', 'Morty Smith', 'Mr. Booby Buyer']",Mythological Creature,Fantasy World,Female,Alive,0.0,3.0,6.0
48,Big Fat Rick,https://rickandmorty.fandom.com/wiki/Big_Fat_Rick,"['Ricardo Montoya', 'Hothead Rick', 'Little Ricky Wrap-it-up', 'Rick Sanchez']",Human,unknown,Genderless,unknown,4.0,4.0,5.0
49,Big Morty,https://rickandmorty.fandom.com/wiki/Big_Morty,"['Morty Smith', 'Mortytown Locos']",Human,unknown,Male,Dead,1.0,2.0,2.0
50,Big Morty's Bodyguard Mortys,https://rickandmorty.fandom.com/wiki/Big_Morty%27s_Bodyguard_Mortys,['Big Morty'],unknown,unknown,Genderless,unknown,0.0,1.0,2.0
51,Big-Head Morty,https://rickandmorty.fandom.com/wiki/Big-Head_Morty,"['Morty Smith', 'Summer Smith', 'Council of Ricks']",unknown,unknown,Genderless,unknown,0.0,3.0,2.0
52,Bill (Dog),https://rickandmorty.fandom.com/wiki/Bill_(Dog),['Snuffles'],unknown,unknown,Genderless,unknown,0.0,1.0,0.0
53,Birdperson's Daughter,https://rickandmorty.fandom.com/wiki/Birdperson%27s_Daughter,"['Birdperson', 'Tammy Guterman', 'Gromflomites']",Bird Person,unknown,Genderless,unknown,1.0,3.0,3.0
54,Blamphs,https://rickandmorty.fandom.com/wiki/Blamphs,[],unknown,unknown,Genderless,unknown,,,
55,Blazen,https://rickandmorty.fandom.com/wiki/Blazen,"['Kathy Ireland', 'Rick Sanchez', 'Morty Smith', 'Sticky']",Human,Earth (Replacement Dimension),Male,Dead,1.0,4.0,6.0
56,Blim Blam,https://rickandmorty.fandom.com/wiki/Blim_Blam,"['Rick Sanchez', 'Beth Smith', 'Jerry Smith', 'Summer Smith', 'Morty Smith']",Alien,unknown,Male,Alive,1.0,5.0,0.0
57,Blue Footprint Guy,https://rickandmorty.fandom.com/wiki/Blue_Footprint_Guy,"['Rick Sanchez', 'Morty Smith']",Human,Post-Apocalyptic Earth,Male,Dead,0.0,2.0,6.0
58,Blue Shirt Morty,https://rickandmorty.fandom.com/wiki/Blue_Shirt_Morty,"['Yellow Shirt Rick', 'Morty Smith', 'Rick Sanchez', 'Council of Ricks']",Human,unknown,Male,unknown,1.0,4.0,2.0
59,Bobby Moynihan,https://rickandmorty.fandom.com/wiki/Bobby_Moynihan,"['Rick Sanchez', 'Morty Smith', 'Piece of Toast', 'Two Guys with Handlebar Mustaches', 'Man Painted Silver Who Makes Robot Noises', 'Garmanarnar', 'Three Unknown Things', 'Hole in the Wall Where the Men Can See it All']",Human,unknown,Male,Alive,6.0,8.0,14.0
60,Boobloosians,https://rickandmorty.fandom.com/wiki/Boobloosians,"['David Prime', 'Beth Smith', 'Jerry Smith', 'Tammy Guterman', 'Birdperson']",unknown,unknown,Genderless,unknown,1.0,5.0,3.0
61,Bootleg Portal Chemist Rick,https://rickandmorty.fandom.com/wiki/Bootleg_Portal_Chemist_Rick,"['Mortytown Locos', 'Evil Morty']",Human,unknown,Male,Dead,2.0,2.0,2.0
62,Borpocians,https://rickandmorty.fandom.com/wiki/Borpocians,['Gromflomites'],Humanoid,unknown,Genderless,unknown,0.0,1.0,3.0
63,Bova,https://rickandmorty.fandom.com/wiki/Bova,"['Hoovy', 'Japheth', 'Rick Sanchez']",Humanoid,Narnia Dimension,Female,Dead,2.0,3.0,6.0
64,Brad,https://rickandmorty.fandom.com/wiki/Brad,"['Jessica', 'Morty Smith', 'Summer Smith', 'Rick Sanchez', 'Principal Vagina', 'Mr. Goldenfold', 'Tammy Guterman', 'Holly Hooks', 'Abrodolph Lincoler', 'Squanchy', 'Tricia Lange', 'Cynthia (Rixty Minutes)', 'Kiara', 'Bruce Chutback']",Human,Earth (Replacement Dimension),Male,Alive,9.0,14.0,10.0
65,Brad Anderson,https://rickandmorty.fandom.com/wiki/Brad_Anderson,"['Morty Smith', 'Morty Jr.']",Human,Earth (Replacement Dimension),Male,Dead,0.0,2.0,6.0
66,Bruce Chutback,https://rickandmorty.fandom.com/wiki/Bruce_Chutback,"['Morty Smith', 'Rick Sanchez', 'Brad']",Human,Earth (Replacement Dimension),Male,Alive,3.0,3.0,8.0
67,Bullies,https://rickandmorty.fandom.com/wiki/Bullies,"['Morty Smith', 'The Garage']",unknown,unknown,Genderless,unknown,1.0,2.0,10.0
68,Butter Robot,https://rickandmorty.fandom.com/wiki/Butter_Robot,"['Rick Sanchez', 'Morty Smith']",Robot,Earth (Replacement Dimension),Genderless,Alive,0.0,2.0,6.0
69,Butter Robot (Fortnite),https://rickandmorty.fandom.com/wiki/Butter_Robot_(Fortnite),[],unknown,unknown,Genderless,unknown,,,
70,Buttmouth,https://rickandmorty.fandom.com/wiki/Buttmouth,[],unknown,unknown,Genderless,unknown,,,
71,Calypso,https://rickandmorty.fandom.com/wiki/Calypso,"['Lady Katana', 'Diablo Verde']",Human,unknown,Female,Dead,3.0,2.0,15.0
72,Canklanker Thom,https://rickandmorty.fandom.com/wiki/Canklanker_Thom,"['Gromflomites', 'Rick Sanchez']",Alien,Gromflom Prime,Male,Dead,1.0,2.0,3.0
73,Catogami,https://rickandmorty.fandom.com/wiki/Catogami,"['Morty Smith (C-132)', 'Rick Sanchez (C-132)', 'Professor Tock']",unknown,unknown,Genderless,unknown,0.0,3.0,13.0
74,Centaur,https://rickandmorty.fandom.com/wiki/Centaur,"['Mrs. Pancakes', 'Mr. Goldenfold']",Mythological Creature,unknown,Male,Alive,2.0,2.0,10.0
75,Chris (The Ricks Must Be Crazy),https://rickandmorty.fandom.com/wiki/Chris_(The_Ricks_Must_Be_Crazy),"['Chris', 'Zeep Xanflorp']",unknown,unknown,Genderless,unknown,2.0,2.0,8.0
76,Chud King,https://rickandmorty.fandom.com/wiki/Chud_King,"['Poñeta', ""Rick's Foal"", 'The President', 'Rick Sanchez', 'Morty Smith', 'Sticky']",unknown,unknown,Genderless,unknown,2.0,6.0,0.0
77,Coach Feratu,https://rickandmorty.fandom.com/wiki/Coach_Feratu,"['Rick Sanchez', 'Tiny Rick', 'Morty Smith', 'Vampire Master']",unknown,unknown,Genderless,unknown,2.0,4.0,5.0
78,Colossus,https://rickandmorty.fandom.com/wiki/Colossus,"['Rick Sanchez', 'Morty Smith']",Human,Post-Apocalyptic Earth,Male,Dead,1.0,2.0,6.0
79,Comedian,https://rickandmorty.fandom.com/wiki/Comedian,[],unknown,unknown,Genderless,unknown,,,
80,Commander Rick,https://rickandmorty.fandom.com/wiki/Commander_Rick,"['Rick Sanchez', 'Rick Sanchez (D-99)', 'Quantum Rick', 'Council of Ricks', 'Beth Sanchez (C-137)']",Human,unknown,Male,Dead,3.0,5.0,2.0
81,Concerto,https://rickandmorty.fandom.com/wiki/Concerto,"['Rick Sanchez', 'Morty Smith', 'Jaguar']",Humanoid,unknown,Male,Dead,1.0,3.0,6.0
82,Conroy,https://rickandmorty.fandom.com/wiki/Conroy,['Jerry Smith (Cronenberged dimension)'],Robot,Earth (Replacement Dimension),Genderless,Dead,0.0,1.0,0.0
83,Cool Rick,https://rickandmorty.fandom.com/wiki/Cool_Rick,"['Regional Manager Rick', 'Rick Sanchez (J-22)']",Human,Earth (K-83),Male,Alive,2.0,2.0,2.0
84,Coop,https://rickandmorty.fandom.com/wiki/Coop,[],Human,Earth (Replacement Dimension),Male,Alive,,,
85,Council of Ricks,https://rickandmorty.fandom.com/wiki/Council_of_Ricks,"['Rick Prime', 'Quantum Rick', 'Maximums Rickimus', 'Zeta Alpha Rick', 'Ricktiminus Sancheziminius', 'Riq IV', 'Shadow Council of Ricks', 'Rick Sanchez', 'The Scientist Formerly Known as Rick', 'SEAL Team Ricks', 'Evil Morty', 'Evil Rick Sanchez', 'Morty Smith', 'Summer Smith']",unknown,unknown,Genderless,unknown,26.0,14.0,2.0
86,Courier Flap,https://rickandmorty.fandom.com/wiki/Courier_Flap,"['Rick Sanchez', 'Birdperson']",Alien,unknown,Genderless,Alive,1.0,2.0,5.0
87,Cousin Nicky,https://rickandmorty.fandom.com/wiki/Cousin_Nicky,"['Memory Parasites', 'Mr. Poopybutthole', 'Mr. Beauregard', 'Rick Sanchez']",Alien,unknown,Male,Dead,3.0,4.0,9.0
88,Crazy Cat Rick,https://rickandmorty.fandom.com/wiki/Crazy_Cat_Rick,['Rick Sanchez (C-132)'],unknown,unknown,Genderless,unknown,0.0,1.0,13.0
89,Crocubot,https://rickandmorty.fandom.com/wiki/Crocubot,"['Rick Sanchez', 'Worldender']",Animal,unknown,Male,Dead,0.0,2.0,4.0
90,Cromulons,https://rickandmorty.fandom.com/wiki/Cromulons,"['Armagheadon', 'Rick Sanchez', 'General Nathan', 'Principal Vagina']",unknown,unknown,Genderless,unknown,14.0,4.0,7.0
91,Cronenberg Morty,https://rickandmorty.fandom.com/wiki/Cronenberg_Morty,"['Cronenberg Rick', 'Morty Smith', 'Rick Sanchez']",Cronenberg,Cronenberg Earth,Male,unknown,3.0,3.0,0.0
92,Cronenberg Rick,https://rickandmorty.fandom.com/wiki/Cronenberg_Rick,"['Cronenberg Morty', 'Rick Sanchez', 'Morty Smith', 'Summer Smith (Cronenberged dimension)']",Cronenberg,Cronenberg Earth,Male,unknown,1.0,4.0,0.0
93,Crop Top Morty,https://rickandmorty.fandom.com/wiki/Crop_Top_Morty,['Morty Smith'],unknown,unknown,Genderless,unknown,0.0,1.0,6.0
94,Crowscare,https://rickandmorty.fandom.com/wiki/Crowscare,"['Rick Sanchez', 'Two Crows']",Living Scarecrow,unknown,Genderless,unknown,1.0,2.0,5.0
95,Crustolomons,https://rickandmorty.fandom.com/wiki/Crustolomons,"['Evil Rick Sanchez', 'Evil Morty']",unknown,unknown,Genderless,unknown,0.0,2.0,2.0
96,Crystallized Morty,https://rickandmorty.fandom.com/wiki/Crystallized_Morty,"['Morty Smith', 'Evil Morty', 'Trunk Morty']",Human,unknown,Genderless,unknown,1.0,3.0,6.0
97,Cult Leader Morty,https://rickandmorty.fandom.com/wiki/Cult_Leader_Morty,"['Evil Rick Sanchez', 'The One True Morty', 'Morty Smith']",Human,unknown,Male,Alive,0.0,3.0,2.0
98,Curly-haired Rick,https://rickandmorty.fandom.com/wiki/Curly-haired_Rick,['Rick Sanchez'],Human,unknown,Genderless,unknown,0.0,1.0,5.0
99,Cyclops Morty,https://rickandmorty.fandom.com/wiki/Cyclops_Morty,"['Cyclops Rick', 'Morty Smith']",Humanoid,unknown,Male,Alive,1.0,2.0,6.0
100,Cyclops Rick,https://rickandmorty.fandom.com/wiki/Cyclops_Rick,"['Cyclops Morty', 'Rick Sanchez', 'Morty Smith', 'Solicitor Rick', 'Evil Morty']",Humanoid,unknown,Male,Dead,1.0,5.0,6.0
101,Cynthia (Rixty Minutes),https://rickandmorty.fandom.com/wiki/Cynthia_(Rixty_Minutes),"['Cynthia', 'Rick Sanchez', 'Morty Smith', 'Mr. Goldenfold', 'Abrodolph Lincoler', 'Brad']",unknown,unknown,Genderless,unknown,1.0,6.0,10.0
102,Dale,https://rickandmorty.fandom.com/wiki/Dale,"['Rose', ""Dale's Son"", 'Rick Sanchez', 'Morty Smith']",Mythological Creature,Giant's Town,Male,Dead,3.0,4.0,6.0
103,Dale's Son,https://rickandmorty.fandom.com/wiki/Dale%27s_Son,"['Dale', 'Rose', 'Rick Sanchez', 'Morty Smith']",unknown,unknown,Genderless,unknown,2.0,4.0,6.0
104,Dangelians,https://rickandmorty.fandom.com/wiki/Dangelians,"['Rick Sanchez', 'Kozbians']",unknown,unknown,Genderless,unknown,0.0,2.0,5.0
105,Daphne,https://rickandmorty.fandom.com/wiki/Daphne,[],Alien,Morglutz,Female,Alive,1.0,0.0,0.0
106,Daron Jefferson,https://rickandmorty.fandom.com/wiki/Daron_Jefferson,"['Nippalians', 'Unity']",Alien,Unity's Planet,Male,Alive,0.0,2.0,12.0
107,Darth Poopybutthole,https://rickandmorty.fandom.com/wiki/Darth_Poopybutthole,"['Evil Morty', 'Rick Sanchez', 'Morty Smith', 'Mr. Meeseeks', 'Gazorpians', 'Mr. Poopybutthole', 'Jesus Christ']",Poopybutthole,Ricks’s Story,Male,Alive,1.0,7.0,4.0
108,Dave,https://rickandmorty.fandom.com/wiki/Dave,['Roy'],unknown,unknown,Genderless,unknown,0.0,1.0,6.0
109,David Letterman,https://rickandmorty.fandom.com/wiki/David_Letterman,['Jerry Smith'],Human,Earth (C-500A),Male,Alive,1.0,1.0,0.0
110,David Prime,https://rickandmorty.fandom.com/wiki/David_Prime,['Boobloosians'],unknown,unknown,Genderless,unknown,1.0,1.0,3.0
111,Davin,https://rickandmorty.fandom.com/wiki/Davin,"['Jerry Smith (Cronenberged dimension)', 'Morty Smith', 'Brad']",Human,Earth (C-137),Male,Dead,1.0,3.0,0.0
112,Da’hou Ungherstahnk,https://rickandmorty.fandom.com/wiki/Da%E2%80%99hou_Ungherstahnk,['Flansians'],unknown,unknown,Genderless,unknown,1.0,1.0,3.0
113,Defiance Doctor,https://rickandmorty.fandom.com/wiki/Defiance_Doctor,['Rick Sanchez'],Alien,unknown,Male,Alive,0.0,1.0,5.0
114,Delta,https://rickandmorty.fandom.com/wiki/Delta,[],unknown,unknown,Genderless,unknown,,,
115,Diablo Verde,https://rickandmorty.fandom.com/wiki/Diablo_Verde,"['Lady Katana', 'Calypso', 'Doom-Nomitron']",Mythological Creature,unknown,Male,Dead,3.0,3.0,15.0
116,Diane Sanchez,https://rickandmorty.fandom.com/wiki/Diane_Sanchez,"['Rick Sanchez', 'Beth Sanchez (C-137)', ""Rick's Father"", 'Weird Rick', 'Mr. Nimbus', 'Birdperson', 'Jessica', 'Space Cruiser', 'The Garage']",Human,Earth (C-137),Female,Dead,18.0,9.0,0.0
117,Diesel Weasel,https://rickandmorty.fandom.com/wiki/Diesel_Weasel,['Planetina'],Animal,Earth (Replacement Dimension),Male,Alive,1.0,1.0,6.0
118,Dipper and Mabel Mortys,https://rickandmorty.fandom.com/wiki/Dipper_and_Mabel_Mortys,"['Morty Smith', 'Summer Smith']",Human,unknown,Genderless,unknown,0.0,2.0,6.0
119,Diseases,https://rickandmorty.fandom.com/wiki/Diseases,"['Ruben', 'Poncho', 'Morty Smith', 'Annie', 'Dr. Xenon Bloom']",unknown,unknown,Genderless,unknown,3.0,5.0,6.0
120,Donna Guterman,https://rickandmorty.fandom.com/wiki/Donna_Guterman,"['Pat Guterman', 'Tammy Guterman', 'Birdperson', 'Jerry Smith', 'Beth Smith', 'Summer Smith']",unknown,unknown,Genderless,unknown,2.0,6.0,3.0
121,Doofus Rick,https://rickandmorty.fandom.com/wiki/Doofus_Rick,"['Rick Sanchez (J19α7)', 'Rick Sanchez', 'Jerry Smith', 'Eric Stoltz Mask Morty']",Human,Earth (J19ζ7),Male,unknown,4.0,4.0,6.0
122,Doom-Nomitron,https://rickandmorty.fandom.com/wiki/Doom-Nomitron,"['Rick Sanchez', 'Morty Smith', 'Lady Katana', 'Diablo Verde', 'Calypso']",Alien,unknown,Genderless,Dead,1.0,5.0,15.0
123,Dr. Glip-Glop,https://rickandmorty.fandom.com/wiki/Dr._Glip-Glop,['Rick Sanchez'],Alien,unknown,Male,Dead,1.0,1.0,5.0
124,Dr. Schmidt,https://rickandmorty.fandom.com/wiki/Dr._Schmidt,[],Human,Roy: A Life Well Lived,Male,unknown,,,
125,Dr. Wong,https://rickandmorty.fandom.com/wiki/Dr._Wong,"['Beth Smith', 'Jerry Smith', 'Pickle Rick (character)', 'Tammy Guterman', 'Mr. Goldenfold', 'Gromflomites']",Human,Earth (Replacement Dimension),Female,Alive,1.0,6.0,3.0
126,Dr. Xenon Bloom,https://rickandmorty.fandom.com/wiki/Dr._Xenon_Bloom,"['Rick Sanchez', 'Ruben', 'Poncho', 'Roger', 'Annie', 'Diseases', 'Morty Smith', 'Ethan']",Humanoid,unknown,Male,Dead,6.0,8.0,6.0
127,Drippy Boy,https://rickandmorty.fandom.com/wiki/Drippy_Boy,"['Rick Sanchez', 'Morty Smith', 'Beth Smith']",unknown,unknown,Genderless,unknown,0.0,3.0,6.0
128,Duck with Muscles,https://rickandmorty.fandom.com/wiki/Duck_with_Muscles,"['Memory Parasites', 'Baby Wizard', 'Morty Smith', 'Rick Sanchez', 'Pencilvester']",unknown,unknown,Genderless,unknown,2.0,5.0,9.0
129,Dwayne,https://rickandmorty.fandom.com/wiki/Dwayne,[],Human,Earth (Replacement Dimension),Male,Alive,,,
130,Eddie,https://rickandmorty.fandom.com/wiki/Eddie,"['Planetina', 'Morty Smith']",Human,Earth (Replacement Dimension),Male,Dead,3.0,2.0,6.0
131,Eli,https://rickandmorty.fandom.com/wiki/Eli,"[""Eli's Girlfriend"", 'Hemorrhage', 'Summer Smith', 'Rick Sanchez', 'Morty Smith', 'Armothy']",Human,Post-Apocalyptic Earth,Male,Alive,1.0,6.0,0.0
132,Eli's Girlfriend,https://rickandmorty.fandom.com/wiki/Eli%27s_Girlfriend,"['Eli', 'Summer Smith', 'Hemorrhage']",Human,Post-Apocalyptic Earth,Female,Alive,1.0,3.0,0.0
133,Eric Stoltz Mask Morty,https://rickandmorty.fandom.com/wiki/Eric_Stoltz_Mask_Morty,"['Morty Smith', 'Doofus Rick']",Human,Eric Stoltz Mask Earth,Male,unknown,1.0,2.0,6.0
